RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,Predicted_Rank,Unique_Rank
,Marvin Bagley III,Det,F,25.0,26,18.4,20.9,13.8,61,0.82,175,0.606,6,0.167,0.594,0.638,10.2,4.5,1.0,0.2,0.5,1.1,14.7,11.2,15.8,7.8,121.4,115.4,201.0,189
,Onyeka Okongwu,Atl,F-C,23.3,53,25.8,13.5,11.4,115,0.8,286,0.671,65,0.338,0.641,0.675,10.2,7.0,1.3,0.5,1.1,0.8,17.2,11.6,18.5,7.0,136.0,110.5,201.0,189
,Reggie Jackson,Den,G,33.9,65,22.2,21.2,11.9,67,0.776,370,0.497,223,0.35,0.508,0.525,10.1,2.0,3.7,0.5,0.1,1.2,12.0,13.8,15.7,7.6,109.5,112.0,201.0,189
,Tre Jones,San,G,24.2,61,26.5,15.1,16.1,96,0.875,311,0.592,141,0.319,0.556,0.594,9.6,3.4,6.0,1.0,0.1,1.4,13.0,15.7,19.0,8.8,123.9,117.9,220.0,204
,Davis Bertans,Cha,F,31.3,12,19.1,18.9,3.1,7,0.714,12,0.333,81,0.42,0.591,0.598,9.6,1.9,1.2,0.8,0.2,0.3,11.5,10.8,12.7,5.9,121.6,115.8,220.0,204
,Alex Caruso,Chi,G,30.0,56,27.4,14.8,15.3,80,0.75,157,0.599,251,0.375,0.576,0.598,9.5,3.7,2.9,1.6,1.1,1.3,13.2,12.4,16.1,6.8,117.0,108.9,220.0,204
,Duop Reath,Por,C,27.7,50,18.2,20.6,10.0,73,0.712,182,0.577,185,0.378,0.572,0.591,9.4,3.8,1.1,0.5,0.6,0.8,13.2,10.5,14.3,7.5,118.4,106.7,220.0,204
,Chris Paul,Gol,G,38.9,40,27.0,14.9,12.9,48,0.833,164,0.488,152,0.375,0.524,0.55,9.3,3.9,7.1,1.3,0.1,1.2,13.2,16.4,20.3,9.4,127.9,111.6,220.0,204
,Dorian Finney-Smith,Bro,F,30.9,56,28.4,13.5,10.3,34,0.706,142,0.528,293,0.372,0.548,0.557,8.9,4.7,1.6,0.8,0.6,0.9,13.7,10.5,15.3,5.7,114.1,112.7,236.93333333333334,209
,Derrick Jones Jr.,Dal,F,27.1,60,23.6,15.0,11.5,104,0.721,199,0.628,199,0.352,0.578,0.603,8.9,3.4,1.0,0.8,0.7,0.9,12.3,9.9,13.3,5.3,117.4,114.4,236.93333333333334,209
,Malaki Branham,San,F,20.8,61,20.8,19.6,13.1,48,0.938,291,0.495,204,0.343,0.503,0.526,8.9,2.0,2.2,0.4,0.1,1.2,10.9,11.1,13.1,6.5,101.3,118.1,236.93333333333334,209
,Seth Curry,Cha,G,33.6,8,19.8,19.1,7.8,12,0.917,31,0.548,28,0.321,0.517,0.56,9.0,2.0,1.8,0.6,0.4,0.6,11.0,10.8,12.8,6.4,114.7,120.1,236.93333333333334,209
,Dereck Lively II,Dal,C,20.1,46,24.5,12.3,15.3,70,0.529,247,0.757,2,0.0,0.751,0.734,8.9,7.0,1.2,0.7,1.5,1.0,16.0,10.1,17.2,6.9,139.1,106.9,236.93333333333334,209
,Georges Niang,Cle,F,30.7,65,21.7,17.4,9.6,48,0.833,185,0.568,303,0.363,0.553,0.57,8.9,3.5,1.2,0.3,0.2,0.8,12.5,10.2,13.7,6.2,109.5,104.5,236.93333333333334,209
,Bruce Brown,Tor,G-F,27.6,20,26.0,15.7,11.2,30,1.0,118,0.492,40,0.25,0.462,0.514,8.8,4.4,2.3,0.7,0.4,1.0,13.2,11.1,15.4,6.9,108.0,113.9,236.93333333333334,209
,Simone Fontecchio,Uta,F,28.3,50,23.2,15.3,12.5,40,0.8,125,0.56,233,0.391,0.577,0.592,8.9,3.5,1.5,0.6,0.4,1.0,12.4,10.4,13.9,6.2,115.4,117.0,236.93333333333334,209
,Ausar Thompson,Det,F,21.1,63,25.1,16.5,14.9,119,0.597,367,0.575,113,0.186,0.505,0.522,8.8,6.4,1.9,1.1,0.9,1.3,15.2,10.7,17.1,7.6,106.7,109.7,236.93333333333334,209
,Andrew Nembhard,Ind,G-F,24.2,52,23.9,16.9,17.8,42,0.81,275,0.553,122,0.361,0.549,0.566,9.0,2.0,4.3,1.0,0.1,1.7,11.1,13.3,15.3,7.1,111.7,116.1,236.93333333333334,209
,T.J. McConnell,Ind,G,32.0,55,17.7,21.8,16.7,50,0.76,380,0.568,25,0.32,0.563,0.578,9.0,2.7,5.4,1.1,0.1,1.5,11.6,14.4,17.1,11.5,120.3,116.1,236.93333333333334,209
,Draymond Green,Gol,F,34.0,40,26.5,15.9,26.5,61,0.754,180,0.533,97,0.423,0.569,0.594,9.0,7.0,5.9,0.8,0.9,2.5,16.0,14.9,21.9,10.9,114.9,104.4,236.93333333333334,209
,Kevin Love,Mia,F,35.5,47,17.5,21.0,11.1,104,0.779,93,0.656,212,0.349,0.564,0.606,9.0,6.2,2.2,0.3,0.2,0.8,15.3,11.3,17.5,11.4,124.1,101.4,236.93333333333334,209
,Jordan Hawkins,Nor,G,21.9,55,19.5,20.0,8.1,75,0.853,147,0.429,281,0.37,0.512,0.544,9.1,2.6,1.2,0.3,0.1,0.7,11.7,10.3,12.9,6.3,110.9,111.6,236.93333333333334,209
,Josh Hart,Nyk,G,29.0,64,31.9,13.7,14.8,84,0.762,303,0.505,219,0.324,0.497,0.522,9.1,7.8,3.6,0.8,0.3,1.4,17.0,12.8,20.6,8.0,112.9,108.1,236.93333333333334,209
,Taurean Prince,Lal,F,30.0,63,28.5,13.4,10.5,53,0.717,174,0.523,304,0.388,0.561,0.572,9.1,3.0,1.6,0.8,0.5,0.9,12.1,10.7,13.7,4.9,107.7,112.6,236.93333333333334,209
,Precious Achiuwa,Nyk,F,24.5,33,27.2,14.4,14.7,53,0.66,195,0.585,42,0.262,0.551,0.569,9.0,7.7,1.1,0.7,1.4,1.2,16.7,10.0,17.7,6.2,116.0,106.6,236.93333333333334,209
,Sam Hauser,Bos,F,26.3,64,21.1,13.9,6.6,17,0.882,55,0.636,343,0.42,0.631,0.638,8.1,3.3,0.9,0.4,0.3,0.4,11.4,9.0,12.3,5.5,126.4,109.2,253.4,226
,Moses Moody,Gol,G,21.8,50,17.7,18.6,9.7,71,0.789,174,0.569,153,0.327,0.532,0.564,8.1,3.2,0.7,0.7,0.4,0.7,11.2,8.8,12.0,5.9,113.7,112.2,253.4,226
,Isaiah Joe,Okc,G,24.7,61,18.4,16.7,8.9,40,0.85,102,0.578,276,0.413,0.608,0.624,8.1,2.3,1.1,0.6,0.3,0.6,10.4,9.2,11.5,5.9,119.5,111.9,253.4,226
,Grant Williams,Dal,F,25.3,47,26.4,13.6,14.3,55,0.745,107,0.486,210,0.376,0.538,0.56,8.1,3.6,1.7,0.5,0.6,1.1,11.7,9.9,13.4,5.6,110.2,110.6,253.4,226
,Kelly Olynyk,Uta,F-C,32.9,50,20.4,15.5,23.9,95,0.842,174,0.626,84,0.429,0.632,0.677,8.1,5.1,4.4,0.7,0.2,1.6,13.2,12.5,17.6,11.1,129.2,107.6,253.4,226
,Ziaire Williams,Mem,F,22.5,51,20.3,19.9,14.9,75,0.827,189,0.487,189,0.307,0.474,0.511,8.2,3.5,1.5,0.7,0.2,1.3,11.8,9.7,13.2,6.9,98.2,108.9,253.4,226
,Terance Mann,Lac,G-F,27.4,58,25.4,13.0,8.8,66,0.803,211,0.621,163,0.331,0.567,0.592,8.2,3.4,1.7,0.5,0.2,0.6,11.6,9.9,13.3,5.7,124.8,113.2,253.4,226
,Markelle Fultz,Orl,G,25.8,27,22.3,18.2,13.2,25,0.6,200,0.51,10,0.1,0.493,0.502,8.2,3.3,3.1,1.1,0.3,1.2,11.6,11.3,14.7,7.9,108.0,108.3,253.4,226
,Andre Drummond,Chi,C,30.6,65,17.1,21.3,15.3,174,0.563,391,0.552,3,0.0,0.548,0.563,8.2,8.8,0.5,1.0,0.6,1.1,17.0,8.6,17.5,7.7,115.0,101.1,253.4,226
